日期,等权净值,当日在持仓位数
2021-08-17,1.000000,
2021-08-18,1.014316,
2021-08-19,1.009375,
2021-08-20,1.006601,
2021-08-23,1.025981,
2021-08-24,1.030679,
2021-08-25,1.040742,
2021-08-26,1.038631,
2021-08-27,1.039657,
2021-08-30,1.043413,
2021-08-31,1.047909,
2021-09-01,1.037498,
2021-09-02,1.053369,
2021-09-03,1.049387,
2021-09-06,1.057627,
2021-09-07,1.072672,
2021-09-08,1.083651,
2021-09-09,1.089116,
2021-09-10,1.080983,
2021-09-13,1.092443,
2021-09-14,1.076034,
2021-09-15,1.085822,
2021-09-16,1.072564,
2021-09-17,1.069676,
2021-09-22,1.078313,
2021-09-23,1.080609,
2021-09-24,1.057676,
2021-09-27,1.029543,
2021-09-28,1.030953,
2021-09-29,1.000475,
2021-09-30,1.017511,
2021-10-08,1.020292,
2021-10-11,1.007211,
2021-10-12,0.995070,
2021-10-13,0.989741,
2021-10-14,0.987256,
2021-10-15,0.978973,
2021-10-18,0.977813,
2021-10-19,0.981085,
2021-10-20,0.978843,
2021-10-21,0.974895,
2021-10-22,0.966551,
2021-10-25,0.976220,
2021-10-26,0.971544,
2021-10-27,0.964092,
2021-10-28,0.948838,
2021-10-29,0.959772,
2021-11-01,0.974001,
2021-11-02,0.966055,
2021-11-03,0.967164,
2021-11-04,0.986285,
2021-11-05,0.978557,
2021-11-08,0.980651,
2021-11-09,0.992221,
2021-11-10,0.999946,
2021-11-11,1.008144,
2021-11-12,1.021744,
2021-11-15,1.030631,
2021-11-16,1.022131,
2021-11-17,1.035737,
2021-11-18,1.025364,
2021-11-19,1.037278,
2021-11-22,1.045266,
2021-11-23,1.049846,
2021-11-24,1.054293,
2021-11-25,1.054563,
2021-11-26,1.051928,
2021-11-29,1.050746,
2021-11-30,1.058194,
2021-12-01,1.069002,
2021-12-02,1.056253,
2021-12-03,1.059849,
2021-12-06,1.043388,
2021-12-07,1.037532,
2021-12-08,1.044398,
2021-12-09,1.045661,
2021-12-10,1.045321,
2021-12-13,1.047684,
2021-12-14,1.048527,
2021-12-15,1.049225,
2021-12-16,1.059291,
2021-12-17,1.054834,
2021-12-20,1.047488,
2021-12-21,1.063260,
2021-12-22,1.063963,
2021-12-23,1.055353,
2021-12-24,1.042543,
2021-12-27,1.046699,
2021-12-28,1.044220,
2021-12-29,1.042049,
2021-12-30,1.053225,
2021-12-31,1.060305,
2022-01-04,1.076829,
2022-01-05,1.064283,
2022-01-06,1.072020,
2022-01-07,1.057368,
2022-01-10,1.067314,
2022-01-11,1.065008,
2022-01-12,1.074715,
2022-01-13,1.068854,
2022-01-14,1.062070,
2022-01-17,1.073960,
2022-01-18,1.052401,
2022-01-19,1.057029,
2022-01-20,1.034577,
2022-01-21,1.023684,
2022-01-24,1.017731,
2022-01-25,0.980635,
2022-01-26,0.980088,
2022-01-27,0.944915,
2022-01-28,0.940132,
2022-02-07,0.954289,
2022-02-08,0.962315,
2022-02-09,0.972174,
2022-02-10,0.981187,
2022-02-11,0.973255,
2022-02-14,0.968859,
2022-02-15,0.964375,
2022-02-16,0.974133,
2022-02-17,0.969227,
2022-02-18,0.980114,
2022-02-21,0.991001,
2022-02-22,0.985385,
2022-02-23,0.994464,
2022-02-24,0.971418,
2022-02-25,0.977604,
2022-02-28,0.977049,
2022-03-01,0.983878,
2022-03-02,0.989534,
2022-03-03,0.988495,
2022-03-04,0.976742,
2022-03-07,0.967296,
2022-03-08,0.942579,
2022-03-09,0.941801,
2022-03-10,0.951951,
2022-03-11,0.957063,
2022-03-14,0.932453,
2022-03-15,0.902062,
2022-03-16,0.920003,
2022-03-17,0.925893,
2022-03-18,0.933426,
2022-03-21,0.953292,
2022-03-22,0.938095,
2022-03-23,0.934296,
2022-03-24,0.928661,
2022-03-25,0.925673,
2022-03-28,0.923893,
2022-03-29,0.921306,
2022-03-30,0.931207,
2022-03-31,0.933354,
2022-04-01,0.932467,
2022-04-06,0.944672,
2022-04-07,0.923100,
2022-04-08,0.923000,
2022-04-11,0.907093,
2022-04-12,0.916516,
2022-04-13,0.903149,
2022-04-14,0.911849,
2022-04-15,0.895938,
2022-04-18,0.891637,
2022-04-19,0.895458,
2022-04-20,0.886582,
2022-04-21,0.858963,
2022-04-22,0.849369,
2022-04-25,0.804515,
2022-04-26,0.788829,
2022-04-27,0.776174,
2022-04-28,0.769101,
2022-04-29,0.784870,
2022-05-05,0.798923,
2022-05-06,0.791481,
2022-05-09,0.801325,
2022-05-10,0.819815,
2022-05-11,0.819867,
2022-05-12,0.827037,
2022-05-13,0.830386,
2022-05-16,0.826943,
2022-05-17,0.827386,
2022-05-18,0.831033,
2022-05-19,0.840227,
2022-05-20,0.848771,
2022-05-23,0.859201,
2022-05-24,0.821187,
2022-05-25,0.833516,
2022-05-26,0.836858,
2022-05-27,0.837144,
2022-05-30,0.845999,
2022-05-31,0.855648,
2022-06-01,0.861910,
2022-06-02,0.872603,
2022-06-06,0.887699,
2022-06-07,0.881068,
2022-06-08,0.880422,
2022-06-09,0.862291,
2022-06-10,0.874926,
2022-06-13,0.879578,
2022-06-14,0.880626,
2022-06-15,0.877190,
2022-06-16,0.882270,
2022-06-17,0.889045,
2022-06-20,0.898748,
2022-06-21,0.893387,
2022-06-22,0.882497,
2022-06-23,0.898215,
2022-06-24,0.908107,
2022-06-27,0.915773,
2022-06-28,0.929605,
2022-06-29,0.906508,
2022-06-30,0.914361,
2022-07-01,0.911416,
2022-07-04,0.916785,
2022-07-05,0.908484,
2022-07-06,0.901848,
2022-07-07,0.906355,
2022-07-08,0.905032,
2022-07-11,0.898999,
2022-07-12,0.885301,
2022-07-13,0.892788,
2022-07-14,0.897105,
2022-07-15,0.883309,
2022-07-18,0.898255,
2022-07-19,0.902298,
2022-07-20,0.909757,
2022-07-21,0.906584,
2022-07-22,0.907450,
2022-07-25,0.897358,
2022-07-26,0.905864,
2022-07-27,0.917797,
2022-07-28,0.926524,
2022-07-29,0.924507,
2022-08-01,0.930916,
2022-08-02,0.897377,
2022-08-03,0.893669,
2022-08-04,0.899897,
2022-08-05,0.907379,
2022-08-08,0.923162,
2022-08-09,0.929642,
2022-08-10,0.937651,
2022-08-11,0.945304,
2022-08-12,0.936852,
2022-08-15,0.940949,
2022-08-16,0.946367,
2022-08-17,0.947862,
2022-08-18,0.951892,
2022-08-19,0.939225,
2022-08-22,0.942470,
2022-08-23,0.948577,
2022-08-24,0.921185,
2022-08-25,0.920002,
2022-08-26,0.913968,
2022-08-29,0.920028,
2022-08-30,0.915198,
2022-08-31,0.893529,
2022-09-01,0.891601,
2022-09-02,0.895545,
2022-09-05,0.900305,
2022-09-06,0.907113,
2022-09-07,0.903971,
2022-09-08,0.899275,
2022-09-09,0.898554,
2022-09-13,0.897947,
2022-09-14,0.894128,
2022-09-15,0.883316,
2022-09-16,0.865534,
2022-09-19,0.858094,
2022-09-20,0.860120,
2022-09-21,0.857352,
2022-09-22,0.853625,
2022-09-23,0.838683,
2022-09-26,0.828541,
2022-09-27,0.839632,
2022-09-28,0.819300,
2022-09-29,0.814694,
2022-09-30,0.799877,
2022-10-10,0.789729,
2022-10-11,0.792129,
2022-10-12,0.805848,
2022-10-13,0.813934,
2022-10-14,0.831745,
2022-10-17,0.845019,
2022-10-18,0.850381,
2022-10-19,0.843762,
2022-10-20,0.840861,
2022-10-21,0.843531,
2022-10-24,0.833350,
2022-10-25,0.829081,
2022-10-26,0.845766,
2022-10-27,0.842254,
2022-10-28,0.813140,
2022-10-31,0.820546,
2022-11-01,0.834376,
2022-11-02,0.843909,
2022-11-03,0.847452,
2022-11-04,0.858398,
2022-11-07,0.862012,
2022-11-08,0.860946,
2022-11-09,0.861709,
2022-11-10,0.858781,
2022-11-11,0.862384,
2022-11-14,0.861928,
2022-11-15,0.876093,
2022-11-16,0.874860,
2022-11-17,0.880363,
2022-11-18,0.874209,
2022-11-21,0.874153,
2022-11-22,0.864590,
2022-11-23,0.858240,
2022-11-24,0.859786,
2022-11-25,0.856769,
2022-11-28,0.853361,
2022-11-29,0.866934,
2022-11-30,0.865847,
2022-12-01,0.867768,
2022-12-02,0.871587,
2022-12-05,0.883449,
2022-12-06,0.879204,
2022-12-07,0.879106,
2022-12-08,0.877411,
2022-12-09,0.876457,
2022-12-12,0.869929,
2022-12-13,0.871869,
2022-12-14,0.868784,
2022-12-15,0.864838,
2022-12-16,0.861714,
2022-12-19,0.841983,
2022-12-20,0.831934,
2022-12-21,0.833440,
2022-12-22,0.826776,
2022-12-23,0.819181,
2022-12-26,0.821553,
2022-12-27,0.823287,
2022-12-28,0.816555,
2022-12-29,0.810454,
2022-12-30,0.816700,
2023-01-03,0.827122,
2023-01-04,0.827725,
2023-01-05,0.829920,
2023-01-06,0.826405,
2023-01-09,0.828500,
2023-01-10,0.828208,
2023-01-11,0.820023,
2023-01-12,0.821478,
2023-01-13,0.823364,
2023-01-16,0.831387,
2023-01-17,0.831074,
2023-01-18,0.834207,
2023-01-19,0.840347,
2023-01-20,0.846133,
2023-01-30,0.856765,
2023-01-31,0.859917,
2023-02-01,0.874856,
2023-02-02,0.876783,
2023-02-03,0.877053,
2023-02-06,0.876103,
2023-02-07,0.882974,
2023-02-08,0.878291,
2023-02-09,0.890163,
2023-02-10,0.889026,
2023-02-13,0.897317,
2023-02-14,0.897919,
2023-02-15,0.901301,
2023-02-16,0.880040,
2023-02-17,0.875812,
2023-02-20,0.884968,
2023-02-21,0.887336,
2023-02-22,0.889314,
2023-02-23,0.885700,
2023-02-24,0.884260,
2023-02-27,0.877467,
2023-02-28,0.883728,
2023-03-01,0.889382,
2023-03-02,0.887877,
2023-03-03,0.887056,
2023-03-06,0.887057,
2023-03-07,0.871248,
2023-03-08,0.875951,
2023-03-09,0.876579,
2023-03-10,0.865893,
2023-03-13,0.870191,
2023-03-14,0.864323,
2023-03-15,0.866663,
2023-03-16,0.857231,
2023-03-17,0.868413,
2023-03-20,0.863591,
2023-03-21,0.869775,
2023-03-22,0.877108,
2023-03-23,0.881997,
2023-03-24,0.883410,
2023-03-27,0.884806,
2023-03-28,0.872689,
2023-03-29,0.871444,
2023-03-30,0.864495,
2023-03-31,0.872635,
2023-04-03,0.885868,
2023-04-04,0.881970,
2023-04-06,0.882104,
2023-04-07,0.888381,
2023-04-10,0.873617,
2023-04-11,0.877607,
2023-04-12,0.886942,
2023-04-13,0.880260,
2023-04-14,0.884257,
2023-04-17,0.881247,
2023-04-18,0.877134,
2023-04-19,0.876352,
2023-04-20,0.878189,
2023-04-21,0.857177,
2023-04-24,0.855396,
2023-04-25,0.847755,
2023-04-26,0.846974,
2023-04-27,0.841807,
2023-04-28,0.855885,
2023-05-04,0.872643,
2023-05-05,0.865768,
2023-05-08,0.870710,
2023-05-09,0.857487,
2023-05-10,0.858334,
2023-05-11,0.863017,
2023-05-12,0.855618,
2023-05-15,0.860003,
2023-05-16,0.852239,
2023-05-17,0.858400,
2023-05-18,0.859538,
2023-05-19,0.856948,
2023-05-22,0.861264,
2023-05-23,0.853678,
2023-05-24,0.855482,
2023-05-25,0.857251,
2023-05-26,0.860142,
2023-05-29,0.856361,
2023-05-30,0.859061,
2023-05-31,0.857080,
2023-06-01,0.856470,
2023-06-02,0.856969,
2023-06-05,0.861726,
2023-06-06,0.841893,
2023-06-07,0.848730,
2023-06-08,0.842462,
2023-06-09,0.848224,
2023-06-12,0.851795,
2023-06-13,0.856990,
2023-06-14,0.859411,
2023-06-15,0.856308,
2023-06-16,0.861501,
2023-06-19,0.864073,
2023-06-20,0.862071,
2023-06-21,0.848061,
2023-06-26,0.832540,
2023-06-27,0.839466,
2023-06-28,0.838013,
2023-06-29,0.846507,
2023-06-30,0.853217,
2023-07-03,0.854298,
2023-07-04,0.860076,
2023-07-05,0.855339,
2023-07-06,0.854975,
2023-07-07,0.851525,
2023-07-10,0.851727,
2023-07-11,0.858392,
2023-07-12,0.851191,
2023-07-13,0.855991,
2023-07-14,0.853172,
2023-07-17,0.852081,
2023-07-18,0.854316,
2023-07-19,0.853708,
2023-07-20,0.845779,
2023-07-21,0.845237,
2023-07-24,0.843487,
2023-07-25,0.855228,
2023-07-26,0.858803,
2023-07-27,0.853339,
2023-07-28,0.862255,
2023-07-31,0.871437,
2023-08-01,0.868584,
2023-08-02,0.866219,
2023-08-03,0.867558,
2023-08-04,0.865082,
2023-08-07,0.858081,
2023-08-08,0.855348,
2023-08-09,0.850293,
2023-08-10,0.851418,
2023-08-11,0.837384,
2023-08-14,0.834812,
2023-08-15,0.832279,
2023-08-16,0.827409,
2023-08-17,0.828744,
2023-08-18,0.813645,
2023-08-21,0.809540,
2023-08-22,0.809456,
2023-08-23,0.801044,
2023-08-24,0.794389,
2023-08-25,0.780156,
2023-08-28,0.789952,
2023-08-29,0.805186,
2023-08-30,0.801095,
2023-08-31,0.793543,
2023-09-01,0.791163,
2023-09-04,0.797262,
2023-09-05,0.794234,
2023-09-06,0.800298,
2023-09-07,0.787111,
2023-09-08,0.790785,
2023-09-11,0.793752,
2023-09-12,0.792028,
2023-09-13,0.782525,
2023-09-14,0.778861,
2023-09-15,0.780693,
2023-09-18,0.782499,
2023-09-19,0.776136,
2023-09-20,0.770846,
2023-09-21,0.766028,
2023-09-22,0.768987,
2023-09-25,0.770910,
2023-09-26,0.765745,
2023-09-27,0.768949,
2023-09-28,0.771234,
2023-10-09,0.769396,
2023-10-10,0.765516,
2023-10-11,0.767219,
2023-10-12,0.769244,
2023-10-13,0.770890,
2023-10-16,0.765674,
2023-10-17,0.763042,
2023-10-18,0.752693,
2023-10-19,0.742823,
2023-10-20,0.733160,
2023-10-23,0.726196,
2023-10-24,0.735092,
2023-10-25,0.745002,
2023-10-26,0.750586,
2023-10-27,0.755638,
2023-10-30,0.763919,
2023-10-31,0.760946,
2023-11-01,0.762783,
2023-11-02,0.755128,
2023-11-03,0.760425,
2023-11-06,0.772963,
2023-11-07,0.777251,
2023-11-08,0.779143,
