序号,代码,名称,买入日,买入价,卖出日,卖出价,股数,净收益率,盈亏(元),持有交易日,卖出原因
1,002125,湘潭电化,2021-08-18,10.276,2021-08-27,10.986,48600,6.7962%,33958.68,7,止盈
2,002130,沃尔核材,2021-08-18,7.652,2021-09-02,8.284,65300,8.1517%,40751.39,11,止盈
3,002169,智光电气,2021-08-18,13.02,2021-09-02,11.797,38400,-9.4796%,-47416.95,11,止损
4,002297,博云新材,2021-08-18,10.225,2021-08-24,11.384,48800,11.2255%,56041.45,4,止盈
5,002334,英威腾,2021-08-18,7.315,2021-09-02,6.608,68300,-9.7553%,-48760.88,11,止损
6,002580,圣阳股份,2021-08-18,9.859,2021-08-27,10.839,50700,9.8268%,49143.62,7,止盈
7,002665,ST航高,2021-08-18,2.381,2021-09-02,2.509,209900,5.2515%,26260.60,11,到期
8,300068,ST南都,2021-08-18,14.783,2021-08-24,13.719,33800,-7.2917%,-36453.38,4,止损
9,300201,海伦哲,2021-08-18,4.329,2021-08-30,4.035,115400,-6.8885%,-34431.21,8,止损
10,300287,飞利信,2021-08-18,5.213,2021-09-02,5.017,95900,-3.8393%,-19202.06,11,到期
11,300376,易事特,2021-08-18,12.476,2021-09-02,10.185,40000,-18.4472%,-92106.42,11,止损
12,300379,东通退,2021-08-18,35.728,2021-08-27,31.704,13900,-11.3508%,-56398.29,7,止损
13,300409,道氏技术,2021-08-18,26.617,2021-08-25,30.539,18700,14.6179%,72796.16,5,止盈
14,300648,星云股份,2021-08-18,63.967,2021-08-31,71.449,7800,11.5855%,57833.74,9,止盈
15,300693,盛弘股份,2021-08-18,31.374,2021-08-30,25.172,15900,-19.8460%,-99049.76,8,止损
16,600110,诺德股份,2021-08-18,16.409,2021-08-20,17.842,30400,8.6235%,43038.75,2,止盈
17,600577,精达股份,2021-08-18,8.244,2021-09-02,7.136,60600,-13.5226%,-67592.04,11,止损
18,600733,北汽蓝谷,2021-08-18,11.596,2021-08-23,10.795,43100,-7.0024%,-35014.02,3,止损
19,601919,中远海控,2021-08-18,13.057,2021-08-31,14.433,38200,10.4303%,52047.90,9,止盈
